customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_created_at,brand_reply_text,pair_id
2603350,736706,Sun Nov 26 19:57:42 +0000 2017,Pitch control.. please @115888 #firstworldproblems https://t.co/GyviWx5gt6,2603348,Sun Nov 26 21:22:53 +0000 2017,@736706 Hey there. We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /QI,sp_00015
189920,478427,Tue Oct 17 02:21:14 +0000 2017,@115888 make this applicable to high school students too plz i’m broke,1544628,Tue Oct 17 02:55:15 +0000 2017,"@478427 Hey, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /RB",sp_00016
1940028,206716,Sun Oct 29 20:35:39 +0000 2017,@SpotifyCares Yes. My other tweet about a local album.,1940030,Sun Oct 29 20:54:48 +0000 2017,"@206716 Got it. Since the album isn't available on our app, it won't be possible to use this feature. Give us a shout if there's anything else /DV",sp_00017
744378,297982,Wed Oct 11 15:49:16 +0000 2017,@SpotifyCares https://t.co/AmMUaS2sux,744377,Wed Oct 11 16:09:19 +0000 2017,"@297982 Hi Mike, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",sp_00018
269191,180190,Fri Oct 06 00:38:31 +0000 2017,@SpotifyCares i have a prem subscription with my family and my daughter got email there was a problem with a payment and you cut her off,269190,Fri Oct 06 00:59:37 +0000 2017,@180190 Hey Carol! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,sp_00019
357324,200851,Thu Sep 28 16:55:10 +0000 2017,"@SpotifyCares been using Spotify premium 2 years+ &amp; loved every minute of it, until today. All my music has vanished from my music/library.",357323,Thu Sep 28 18:08:29 +0000 2017,"@200851 Hmm, that's odd. Can you still see your playlists? Also, which devices and Spotify versions is this happening on? Keep us posted /SQ",sp_00020
2154935,633115,Mon Nov 13 06:52:59 +0000 2017,@SpotifyCares Why was it removed though? Its a pretty good feature that quite a few people like. I know replying to these tweets isnt helping me or making your shift any better but its a bit frustrating with the pace of development of something I am actively paying out of my pocket.,2154937,Mon Nov 13 06:57:22 +0000 2017,"@633115 We're afraid we don't have any info on this. Don't worry, we hear you. Rest assured, your feedback will be passed on to the right folks /NS",sp_00021
1401589,445882,Sun Oct 29 19:16:17 +0000 2017,"@SpotifyCares I’ve tried that, it manages to connect but I can’t browse with the car’s controls...maybe it’s really an iOS issue😒",1401590,Sun Oct 29 19:25:13 +0000 2017,@445882 Got it! Best thing to try here is a reinstall using these steps: https://t.co/EqisDMwZAT. Let us know how it goes /TY,sp_00022
1778937,534484,Wed Oct 11 17:36:09 +0000 2017,"@SpotifyCares Hi, can't play music in web player/mobile app with the free account I use at work. My premium account seems to be working tho",1778936,Wed Oct 11 18:02:28 +0000 2017,@534484 Hey James! Does clearing your cache/cookies help? You might also want to try using an incognito/private window. Let us know how it goes /RV,sp_00023
2986421,823464,Tue Oct 31 21:36:32 +0000 2017,"@SpotifyCares I was charged the full Spotify premium fee but I was on Spotify student, if I resubscribe will I be refunded the extra cost?",2986420,Tue Oct 31 21:47:24 +0000 2017,"@823464 Hey Jackie, help's here! We just replied to your DM, so let's carry on chatting there for your account's security 🙂 /RR",sp_00024
2713292,235204,Mon Nov 20 03:24:00 +0000 2017,"@SpotifyCares Please cancel my account immediately. I am unable to do so because my account has been hacked on my (oem) android and the email and password have changed.

Dm has been sent with no reply yet.

Thanks.",2713290,Mon Nov 20 03:45:46 +0000 2017,@235204 Hey there! We've just sent you a DM /NS,sp_00025
1618754,496284,Sun Nov 05 12:36:13 +0000 2017,@115888 not streaming the hit Christmas classic Santa Clause Lane(02) by Hillary Duff is easily the biggest disappointment of 2017,1618753,Sun Nov 05 14:50:54 +0000 2017,"@496284 Hi there! We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /NY",sp_00026
323490,193042,Sat Oct 07 14:05:25 +0000 2017,porque é que o support do spotify não me responde caralho,323488,Sat Oct 07 14:39:00 +0000 2017,@193042 We've just sent a DM your way. Let's carry on chatting there /JN,sp_00027
2641105,530103,Fri Nov 17 21:57:58 +0000 2017,@SpotifyCares I need help please,2641104,Fri Nov 17 22:08:24 +0000 2017,@530103 Hey! We've just sent a DM your way. Let's carry on chatting there /AN,sp_00028
590155,648424,Sun Nov 26 13:41:08 +0000 2017,@115888 I want u but i dont even know how to pay this shit,2219870,Sun Nov 26 14:29:18 +0000 2017,@648424 Hey! Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC https://t.co/ldFdZRiNAt,sp_00029
2549174,724311,Sun Oct 29 17:12:23 +0000 2017,https://t.co/dtqkjEe0yY @SpotifyCares ? Really? @115888 @116130 @117168 @125633,2549173,Mon Oct 30 14:11:30 +0000 2017,@724311 Hey Mari! Can you give us a little more info on what the issue is? We'll see what we can suggest /K,sp_00030
1707317,517407,Tue Oct 17 15:14:35 +0000 2017,That's it. @115888 @SpotifyCares has pissed me off enough. Downloading Pandora.,1707316,Tue Oct 17 16:37:17 +0000 2017,@517407 We're sorry you feel that way. Let us know how we can help out and we'll do the best we can for you. We're always happy to lend a hand! /WW,sp_00031
1495690,467283,Fri Nov 03 10:33:28 +0000 2017,@SpotifyCares hi can you check your DM please. Waiting on an answer,1495689,Fri Nov 03 11:49:48 +0000 2017,@467283 We've just replied to your DM! Let's carry on chatting there /KM,sp_00032
2707741,760416,Sun Nov 19 21:54:20 +0000 2017,"Is there a way to tell @115888 that I don't want to see singles in the ""New Releases"" area? I usually only care about LP new releases.",2707740,Mon Nov 20 00:15:07 +0000 2017,@760416 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /JS,sp_00033
466070,225889,Fri Dec 01 02:53:15 +0000 2017,"Why was ""Too Much To Ask"" by Niall Horan removed from Spotify Sessions Hits playlist ??  @SpotifyCares",466069,Fri Dec 01 04:41:43 +0000 2017,"@225889 Hey Amanda, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your comments /AR",sp_00034
2912462,806231,Tue Nov 28 20:23:06 +0000 2017,When @115888 is acting up😣,2912460,Tue Nov 28 22:18:09 +0000 2017,@806231 Hey! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? 🙂 /GN,sp_00035
1352476,325435,Fri Oct 27 18:34:23 +0000 2017,@SpotifyCares Even includes marching bands and drum lines. Thank you spotify.,1352477,Fri Oct 27 18:37:52 +0000 2017,"@325435 No worries. For anything else, we're just a tweet away /LP",sp_00036
1099873,379539,Mon Oct 23 22:53:02 +0000 2017,@SpotifyCares No error messages. Just when my screen turns off the music will cut off for like a split second then continue then cut off again and again,1099874,Mon Oct 23 23:08:35 +0000 2017,"@379539 Got it. Have you tried logging out and back in to your account? Also, does restarting your device help at all? /NS",sp_00037
873993,327491,Fri Oct 20 17:55:02 +0000 2017,I wish there was a way @115888 would separate new albums vs. new singles,873992,Fri Oct 20 20:54:06 +0000 2017,@327491 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /DF,sp_00038
1343677,433386,Mon Oct 16 11:37:57 +0000 2017,When can I listen to 4:44 @115888,1343676,Mon Oct 16 13:40:20 +0000 2017,@433386 Hey there! Jay Z's 4:44 isn't currently available on Spotify. We’ll have it available to you as soon as it’s available to us 🙂 /MA,sp_00039
